lat,long,time,rawpm,calibpm
22.48,88.34,12/1/2023 0:00,72.22,109.7383777
22.48,88.39,12/1/2023 0:00,115.6,113.9061363
22.5,88.35,12/1/2023 0:00,114.18,113.697451
22.51,88.36,12/1/2023 0:00,101.2,112.4727424
22.51,88.37,12/1/2023 0:00,85.81,111.0953452
22.54,88.34,12/1/2023 0:00,116.34,97.87476816
22.54,88.35,12/1/2023 0:00,119.25,98.14933688
22.56,88.35,12/1/2023 0:00,125.19,99.02426157
22.56,88.36,12/1/2023 0:00,93.24,96.00966694
22.56,88.39,12/1/2023 0:00,105.12,114.3565639
22.57,88.42,12/1/2023 0:00,94.81,113.3837792
22.58,88.43,12/1/2023 0:00,55.54,109.6785169
22.59,88.36,12/1/2023 0:00,111.83,91.53467642
22.6,88.37,12/1/2023 0:00,104.51,90.84400872
22.6,88.41,12/1/2023 0:00,101.39,114.0046253
22.61,88.36,12/1/2023 0:00,121.4,92.4376395
22.48,88.34,12/1/2023 1:00,70.82,109.1383722
22.48,88.39,12/1/2023 1:00,153.48,118.0196326
22.5,88.35,12/1/2023 1:00,107.72,112.6200167
22.51,88.36,12/1/2023 1:00,88.21,110.7791797
22.51,88.37,12/1/2023 1:00,72.28,110.3581276
22.54,88.34,12/1/2023 1:00,93.16,92.20885791
22.54,88.35,12/1/2023 1:00,96.59,92.53249045
22.56,88.35,12/1/2023 1:00,93.54,95.5136302
22.56,88.36,12/1/2023 1:00,94.5,95.60420957
22.56,88.39,12/1/2023 1:00,86.4,114.9745449
22.57,88.42,12/1/2023 1:00,64.04,112.8648004
22.58,88.43,12/1/2023 1:00,58.99,112.3883152
22.59,88.36,12/1/2023 1:00,105.31,88.84241038
22.6,88.37,12/1/2023 1:00,112.8,89.54911817
22.6,88.41,12/1/2023 1:00,90.32,115.3444106
22.61,88.36,12/1/2023 1:00,99.96,88.3376191
22.48,88.34,12/1/2023 2:00,134.56,114.8432098
22.48,88.39,12/1/2023 2:00,177.33,119.7832156
22.5,88.35,12/1/2023 2:00,94.61,111.0737871
22.51,88.36,12/1/2023 2:00,77.28,109.4386408
22.51,88.37,12/1/2023 2:00,66.91,109.364701
22.54,88.34,12/1/2023 2:00,82.79,91.06321597
22.54,88.35,12/1/2023 2:00,87.06,91.46610545
22.56,88.35,12/1/2023 2:00,76.68,92.47865537
22.56,88.36,12/1/2023 2:00,80.04,92.79568316
22.56,88.39,12/1/2023 2:00,74.32,112.5951737
22.57,88.42,12/1/2023 2:00,56.07,110.8732222
22.58,88.43,12/1/2023 2:00,51.97,110.4863728
22.59,88.36,12/1/2023 2:00,99.16,86.31063957
22.6,88.37,12/1/2023 2:00,101.59,86.5399186
22.6,88.41,12/1/2023 2:00,78.48,112.9876843
22.61,88.36,12/1/2023 2:00,82.77,84.76418554
22.48,88.34,12/1/2023 3:00,69.13,108.6618257
22.48,88.39,12/1/2023 3:00,120.93,113.2969573
22.5,88.35,12/1/2023 3:00,84.29,110.092225
22.51,88.36,12/1/2023 3:00,66.32,108.3966924
22.51,88.37,12/1/2023 3:00,58.39,107.3960888
22.54,88.34,12/1/2023 3:00,70.96,89.45903408
22.54,88.35,12/1/2023 3:00,73.94,89.74020754
22.56,88.35,12/1/2023 3:00,70.36,90.31492475
22.56,88.36,12/1/2023 3:00,68.56,90.14508843
22.56,88.39,12/1/2023 3:00,68.07,106.6428095
22.57,88.42,12/1/2023 3:00,38.84,103.8848564
22.58,88.43,12/1/2023 3:00,51.81,105.1086214
22.59,88.36,12/1/2023 3:00,83.61,85.73282718
22.6,88.37,12/1/2023 3:00,78.64,85.26389023
22.6,88.41,12/1/2023 3:00,70.33,106.8560484
22.61,88.36,12/1/2023 3:00,104.43,87.69726725
22.48,88.34,12/1/2023 4:00,50.6,107.0286812
22.48,88.39,12/1/2023 4:00,122.34,114.2683598
22.5,88.35,12/1/2023 4:00,73.94,109.2308921
22.51,88.36,12/1/2023 4:00,63.06,108.204326
22.51,88.37,12/1/2023 4:00,59.19,108.3099356
22.54,88.34,12/1/2023 4:00,66.25,89.29654685
22.54,88.35,12/1/2023 4:00,69.38,89.59187333
22.56,88.35,12/1/2023 4:00,64.48,92.31654706
22.56,88.36,12/1/2023 4:00,69.52,92.79208875
22.56,88.39,12/1/2023 4:00,67.51,107.6878243
22.57,88.42,12/1/2023 4:00,58.54,106.8414733
22.58,88.43,12/1/2023 4:00,55.67,106.5706787
22.59,88.36,12/1/2023 4:00,74.29,87.18723406
22.6,88.37,12/1/2023 4:00,69.95,86.77773983
22.6,88.41,12/1/2023 4:00,79.36,108.8059133
22.61,88.36,12/1/2023 4:00,102.23,89.82347112
22.48,88.34,12/1/2023 5:00,54.73,106.4983494
22.48,88.39,12/1/2023 5:00,114.01,112.8500747
22.5,88.35,12/1/2023 5:00,89.25,109.7554326
22.51,88.36,12/1/2023 5:00,74.65,108.3778713
22.51,88.37,12/1/2023 5:00,73.49,109.0268705
22.54,88.34,12/1/2023 5:00,73.1,96.27227856
22.54,88.35,12/1/2023 5:00,83.4,97.24411971
22.56,88.35,12/1/2023 5:00,71.84,94.97498438
22.56,88.36,12/1/2023 5:00,77.87,95.54393604
22.56,88.39,12/1/2023 5:00,73.28,115.0332594
22.57,88.42,12/1/2023 5:00,42.88,112.1649127
22.58,88.43,12/1/2023 5:00,55.85,113.3886777
22.59,88.36,12/1/2023 5:00,72.58,90.38578447
22.6,88.37,12/1/2023 5:00,70.04,90.14612655
22.6,88.41,12/1/2023 5:00,82.8,115.9315048
22.61,88.36,12/1/2023 5:00,106.25,93.56266714
22.48,88.34,12/1/2023 6:00,61.65,107.9603827
22.48,88.39,12/1/2023 6:00,123.27,114.0373237
22.5,88.35,12/1/2023 6:00,95.36,111.1410395
22.51,88.36,12/1/2023 6:00,84.61,110.1267393
22.51,88.37,12/1/2023 6:00,67.28,108.7544707
22.54,88.34,12/1/2023 6:00,78.11,100.4122819
22.54,88.35,12/1/2023 6:00,88.57,101.3992196
22.56,88.35,12/1/2023 6:00,87.55,97.17645761
22.56,88.36,12/1/2023 6:00,76.14,96.09988406
22.56,88.39,12/1/2023 6:00,82.92,120.0245445
22.57,88.42,12/1/2023 6:00,40.96,116.0654712
22.58,88.43,12/1/2023 6:00,54.23,117.3175423
22.59,88.36,12/1/2023 6:00,86.49,93.55502625
22.6,88.37,12/1/2023 6:00,75.6,92.52751653
22.6,88.41,12/1/2023 6:00,84.27,120.1519217
22.61,88.36,12/1/2023 6:00,122.2,96.92439008
22.48,88.34,12/1/2023 7:00,52.48,109.2966327
22.48,88.39,12/1/2023 7:00,135.17,116.4895822
22.5,88.35,12/1/2023 7:00,84.75,112.3414205
22.51,88.36,12/1/2023 7:00,70.33,110.9808429
22.51,88.37,12/1/2023 7:00,56.71,109.0866059
22.54,88.34,12/1/2023 7:00,91.78,93.29764116
22.54,88.35,12/1/2023 7:00,81.44,92.32202587
22.56,88.35,12/1/2023 7:00,70.15,92.65909595
22.56,88.36,12/1/2023 7:00,77.48,93.35070718
22.56,88.39,12/1/2023 7:00,70.68,117.5190845
22.57,88.42,12/1/2023 7:00,33.36,113.9978115
22.58,88.43,12/1/2023 7:00,46.58,115.2451649
22.59,88.36,12/1/2023 7:00,95.51,89.42061439
22.6,88.37,12/1/2023 7:00,91.65,89.05640984
22.6,88.41,12/1/2023 7:00,68.75,117.3369823
22.61,88.36,12/1/2023 7:00,80.58,88.01191649
22.48,88.34,12/1/2023 8:00,48.13,88.69040203
22.48,88.39,12/1/2023 8:00,100.81,103.713978
22.5,88.35,12/1/2023 8:00,77.62,91.47288704
22.51,88.36,12/1/2023 8:00,67.24,90.4934976
22.51,88.37,12/1/2023 8:00,52.35,99.14160688
22.54,88.34,12/1/2023 8:00,64.31,81.94370669
22.54,88.35,12/1/2023 8:00,65.52,82.05787444
22.56,88.35,12/1/2023 8:00,61.94,86.14898183
22.56,88.36,12/1/2023 8:00,62.61,86.21219868
22.56,88.39,12/1/2023 8:00,60.23,102.8739809
22.57,88.42,12/1/2023 8:00,26.04,99.6480344
22.58,88.43,12/1/2023 8:00,43.32,101.2784631
22.59,88.36,12/1/2023 8:00,62.82,81.18959844
22.6,88.37,12/1/2023 8:00,58.24,80.75745937
22.6,88.41,12/1/2023 8:00,64.16,103.2447902
22.61,88.36,12/1/2023 8:00,65.57,81.44907059
22.48,88.34,12/1/2023 9:00,42.36,78.06110846
22.48,88.39,12/1/2023 9:00,88.32,84.41723574
22.5,88.35,12/1/2023 9:00,61.19,79.83778504
22.51,88.36,12/1/2023 9:00,51.03,78.87915339
22.51,88.37,12/1/2023 9:00,40.38,79.89392848
22.54,88.34,12/1/2023 9:00,50.03,76.11614182
22.54,88.35,12/1/2023 9:00,53.99,76.48978172
22.56,88.35,12/1/2023 9:00,50.18,81.33607074
22.56,88.36,12/1/2023 9:00,54.05,81.70121883
22.56,88.39,12/1/2023 9:00,50.89,93.53613464
22.57,88.42,12/1/2023 9:00,26.29,91.2150383
22.58,88.43,12/1/2023 9:00,31.82,91.73681321
22.59,88.36,12/1/2023 9:00,52.47,76.04754834
22.6,88.37,12/1/2023 9:00,48.15,75.63994118
22.6,88.41,12/1/2023 9:00,57.86,94.1937786
22.61,88.36,12/1/2023 9:00,53.24,76.12020054
22.48,88.34,12/1/2023 10:00,43.45,76.91023367
22.48,88.39,12/1/2023 10:00,72.35,79.86546358
22.5,88.35,12/1/2023 10:00,62.71,78.72748227
22.51,88.36,12/1/2023 10:00,50.87,77.61033671
22.51,88.37,12/1/2023 10:00,40.16,76.8282241
22.54,88.34,12/1/2023 10:00,45.81,74.74071564
22.54,88.35,12/1/2023 10:00,48.75,75.01811496
22.56,88.35,12/1/2023 10:00,45.88,79.40153692
22.56,88.36,12/1/2023 10:00,47.8,79.58269566
22.56,88.39,12/1/2023 10:00,44.32,84.67042115
22.57,88.42,12/1/2023 10:00,23.03,82.66163493
22.58,88.43,12/1/2023 10:00,29.96,83.31550475
22.59,88.36,12/1/2023 10:00,45.44,73.50114
22.6,88.37,12/1/2023 10:00,43.04,73.27469157
22.6,88.41,12/1/2023 10:00,46.64,84.88932129
22.61,88.36,12/1/2023 10:00,43.6,73.32752954
22.48,88.34,12/1/2023 11:00,40.92,74.59272094
22.48,88.39,12/1/2023 11:00,66.72,76.1583521
22.5,88.35,12/1/2023 11:00,55.1,75.93065371
22.51,88.36,12/1/2023 11:00,49.01,75.35604084
22.51,88.37,12/1/2023 11:00,46.04,74.20712152
22.54,88.34,12/1/2023 11:00,47.09,73.59730951
22.54,88.35,12/1/2023 11:00,47.54,73.63976859
22.56,88.35,12/1/2023 11:00,44.48,78.79284811
22.56,88.36,12/1/2023 11:00,43.18,78.67018855
22.56,88.39,12/1/2023 11:00,52.91,82.72148481
22.57,88.42,12/1/2023 11:00,22.4,79.84275923
22.58,88.43,12/1/2023 11:00,27.68,80.34094576
22.59,88.36,12/1/2023 11:00,45.58,78.89663697
22.6,88.37,12/1/2023 11:00,41.6,70.40984411
22.6,88.41,12/1/2023 11:00,47.5,82.21103232
22.61,88.36,12/1/2023 11:00,43.15,76.57493363
22.48,88.34,12/1/2023 12:00,42.6,73.66519576
22.48,88.39,12/1/2023 12:00,69.03,73.15094169
22.5,88.35,12/1/2023 12:00,60.5,75.35412358
22.51,88.36,12/1/2023 12:00,50.59,74.4190803
22.51,88.37,12/1/2023 12:00,42.58,70.65529136
22.54,88.34,12/1/2023 12:00,52.77,71.98393466
22.54,88.35,12/1/2023 12:00,57.5,72.43022676
22.56,88.35,12/1/2023 12:00,55.36,77.91726148
22.56,88.36,12/1/2023 12:00,50.16,77.42662323
22.56,88.39,12/1/2023 12:00,47.44,78.45669096
22.57,88.42,12/1/2023 12:00,21.7,76.02803162
22.58,88.43,12/1/2023 12:00,27.67,67.7793314
22.59,88.36,12/1/2023 12:00,53.61,69.92527864
22.6,88.37,12/1/2023 12:00,45.21,69.13270916
22.6,88.41,12/1/2023 12:00,45.63,69.47392044
22.61,88.36,12/1/2023 12:00,50.46,69.62806508
22.48,88.34,12/1/2023 13:00,43.2,71.31784446
22.48,88.39,12/1/2023 13:00,58.63,70.12313169
22.5,88.35,12/1/2023 13:00,61.76,73.0690456
22.51,88.36,12/1/2023 13:00,49.83,71.94340823
22.51,88.37,12/1/2023 13:00,42.32,68.58422595
22.54,88.34,12/1/2023 13:00,53.66,69.29319063
22.54,88.35,12/1/2023 13:00,51.31,69.07145988
22.56,88.35,12/1/2023 13:00,52.26,74.9212989
22.56,88.36,12/1/2023 13:00,47.16,74.440096
22.56,88.39,12/1/2023 13:00,49.31,72.14500453
22.57,88.42,12/1/2023 13:00,19.59,69.34081821
22.58,88.43,12/1/2023 13:00,24.58,69.81164223
22.59,88.36,12/1/2023 13:00,50.01,67.76029807
22.6,88.37,12/1/2023 13:00,48.08,67.57819579
22.6,88.41,12/1/2023 13:00,42.75,71.5260455
22.61,88.36,12/1/2023 13:00,46.1,67.39137584
22.48,88.34,12/1/2023 14:00,40.57,69.15100665
22.48,88.39,12/1/2023 14:00,51.49,67.80738801
22.5,88.35,12/1/2023 14:00,54.88,70.50120537
22.51,88.36,12/1/2023 14:00,51.17,70.15115385
22.51,88.37,12/1/2023 14:00,36.66,66.40812546
22.54,88.35,12/1/2023 14:00,42.77,67.54448197
22.56,88.35,12/1/2023 14:00,42.88,73.32994417
22.56,88.36,12/1/2023 14:00,40.66,73.12047938
22.56,88.39,12/1/2023 14:00,42.29,72.16685374
22.57,88.42,12/1/2023 14:00,18.65,69.93633676
22.58,88.43,12/1/2023 14:00,21.83,70.23638093
22.59,88.36,12/1/2023 14:00,41.03,66.45593427
22.6,88.37,12/1/2023 14:00,40.46,66.40215277
22.6,88.41,12/1/2023 14:00,53.25,73.2009682
22.61,88.36,12/1/2023 14:00,40.26,66.38328207
22.48,88.34,12/1/2023 15:00,36.7,69.61113954
22.48,88.39,12/1/2023 15:00,54.81,68.34564338
22.5,88.35,12/1/2023 15:00,50.05,70.8707589
22.51,88.36,12/1/2023 15:00,49.35,70.80471144
22.51,88.37,12/1/2023 15:00,36.72,66.63878839
22.54,88.35,12/1/2023 15:00,42.66,69.47136659
22.56,88.35,12/1/2023 15:00,41.9,74.67599925
22.56,88.36,12/1/2023 15:00,38.76,74.37972923
22.56,88.39,12/1/2023 15:00,47.85,72.29597148
22.57,88.42,12/1/2023 15:00,19.75,69.64463785
22.58,88.43,12/1/2023 15:00,22.02,69.85882032
22.59,88.36,12/1/2023 15:00,45.27,68.10876299
22.6,88.37,12/1/2023 15:00,38.65,67.48414276
22.6,88.41,12/1/2023 15:00,38.37,71.4015002
22.61,88.36,12/1/2023 15:00,41.17,67.7219136
22.48,88.34,12/1/2023 16:00,45.94,74.70803897
22.48,88.39,12/1/2023 16:00,54.2,70.15848124
22.5,88.35,12/1/2023 16:00,53.58,75.42889978
22.51,88.36,12/1/2023 16:00,54.8,75.54401106
22.51,88.37,12/1/2023 16:00,37.55,68.5874953
22.54,88.35,12/1/2023 16:00,47.39,73.14583291
22.56,88.35,12/1/2023 16:00,45.58,77.14203593
22.56,88.36,12/1/2023 16:00,48.56,77.42320939
22.56,88.39,12/1/2023 16:00,41.74,75.8736328
22.57,88.42,12/1/2023 16:00,24.26,74.22433345
22.59,88.36,12/1/2023 16:00,48.7,69.94027217
22.6,88.37,12/1/2023 16:00,46.42,69.72514617
22.6,88.41,12/1/2023 16:00,47.73,76.43881033
22.61,88.36,12/1/2023 16:00,48.3,69.90253077
22.48,88.34,12/1/2023 17:00,44.27,78.78797848
22.48,88.39,12/1/2023 17:00,98.3,81.1648456
22.5,88.35,12/1/2023 17:00,59.34,80.20988587
22.51,88.36,12/1/2023 17:00,69.54,81.17229167
22.51,88.37,12/1/2023 17:00,45.8,76.21128633
22.54,88.35,12/1/2023 17:00,58.4,78.61802189
22.56,88.35,12/1/2023 17:00,51.16,81.52010065
22.56,88.36,12/1/2023 17:00,58.32,82.19567178
22.56,88.39,12/1/2023 17:00,108.92,85.96175061
22.57,88.42,12/1/2023 17:00,45.06,79.93633547
22.59,88.36,12/1/2023 17:00,75.34,74.98676945
22.6,88.37,12/1/2023 17:00,76.27,75.07451821
22.6,88.41,12/1/2023 17:00,66.45,81.95455705
22.61,88.36,12/1/2023 17:00,53.47,72.92325819
22.48,88.34,12/1/2023 18:00,48.52,85.34546092
22.48,88.39,12/1/2023 18:00,144.56,95.86039053
22.5,88.35,12/1/2023 18:00,74.75,87.82035348
22.51,88.36,12/1/2023 18:00,115.18,91.63506588
22.51,88.37,12/1/2023 18:00,65.21,88.37343953
22.54,88.35,12/1/2023 18:00,83.29,89.01560336
22.56,88.35,12/1/2023 18:00,65.06,86.44215334
22.56,88.36,12/1/2023 18:00,90.93,88.88307864
22.56,88.39,12/1/2023 18:00,161.29,98.12319214
22.57,88.42,12/1/2023 18:00,68.46,89.36435582
22.58,88.43,12/1/2023 18:00,58.73,88.44629617
22.59,88.36,12/1/2023 18:00,118.03,81.11893852
22.6,88.37,12/1/2023 18:00,119.31,81.23971101
22.6,88.41,12/1/2023 18:00,82.05,90.64662002
22.61,88.36,12/1/2023 18:00,75.08,77.06645527
22.48,88.34,12/1/2023 19:00,54.82,88.88551763
22.48,88.39,12/1/2023 19:00,148.43,96.60546052
22.5,88.35,12/1/2023 19:00,100.44,93.18992475
22.51,88.36,12/1/2023 19:00,108.66,93.9655106
22.51,88.37,12/1/2023 19:00,79.88,90.13752743
22.54,88.35,12/1/2023 19:00,90.85,89.81115142
22.56,88.35,12/1/2023 19:00,83.33,88.58049978
22.56,88.36,12/1/2023 19:00,91.73,89.37306926
22.56,88.39,12/1/2023 19:00,173.1,101.0895874
22.57,88.42,12/1/2023 19:00,77.46,92.06561776
22.58,88.43,12/1/2023 19:00,67.11,91.08905893
22.59,88.36,12/1/2023 19:00,134.56,84.4203424
22.6,88.37,12/1/2023 19:00,135.16,84.4769545
22.6,88.41,12/1/2023 19:00,88.88,93.14313484
22.61,88.36,12/1/2023 19:00,88.17,80.04328308
22.48,88.34,12/1/2023 20:00,65.04,86.58933252
22.48,88.39,12/1/2023 20:00,137.58,96.4656178
22.5,88.35,12/1/2023 20:00,108.52,90.69182312
22.51,88.36,12/1/2023 20:00,117.73,91.56081895
22.51,88.37,12/1/2023 20:00,79.82,91.01575907
22.54,88.35,12/1/2023 20:00,107.69,90.46498962
22.56,88.35,12/1/2023 20:00,105.02,91.66010691
22.56,88.36,12/1/2023 20:00,102.74,91.44498091
22.56,88.39,12/1/2023 20:00,103.86,92.08295084
22.57,88.42,12/1/2023 20:00,145.86,96.04579825
22.58,88.43,12/1/2023 20:00,71.01,88.98343804
22.59,88.36,12/1/2023 20:00,98.05,82.39616931
22.6,88.37,12/1/2023 20:00,94.7,82.08008505
22.6,88.41,12/1/2023 20:00,87.11,90.50252955
22.61,88.36,12/1/2023 20:00,89.95,81.63190588
22.48,88.34,12/1/2023 21:00,69.07,90.51645526
22.48,88.39,12/1/2023 21:00,129.33,99.71289317
22.5,88.35,12/1/2023 21:00,111.36,94.50666519
22.51,88.36,12/1/2023 21:00,96.6,93.11400739
22.51,88.37,12/1/2023 21:00,93.3,96.31333621
22.54,88.35,12/1/2023 21:00,99.68,97.17465736
22.56,88.35,12/1/2023 21:00,114.91,94.62780409
22.56,88.36,12/1/2023 21:00,92.81,92.54259152
22.56,88.39,12/1/2023 21:00,98.5,96.47799791
22.57,88.42,12/1/2023 21:00,222.07,108.1372611
22.58,88.43,12/1/2023 21:00,75.13,94.27295638
22.59,88.36,12/1/2023 21:00,101,83.6459909
22.6,88.37,12/1/2023 21:00,134.94,86.84834903
22.6,88.41,12/1/2023 21:00,87.62,95.45143172
22.61,88.36,12/1/2023 21:00,95.05,83.08458752
22.48,88.34,12/1/2023 22:00,77.05,93.88804333
22.48,88.39,12/1/2023 22:00,122.32,94.03023843
22.5,88.35,12/1/2023 22:00,108.56,96.86112243
22.51,88.36,12/1/2023 22:00,89.17,95.03160787
22.51,88.37,12/1/2023 22:00,89.4,90.92412088
22.54,88.35,12/1/2023 22:00,97.62,99.9076265
22.56,88.35,12/1/2023 22:00,96.3,94.94612013
22.56,88.36,12/1/2023 22:00,104.97,95.76416506
22.56,88.39,12/1/2023 22:00,93.2,98.23021752
22.57,88.42,12/1/2023 22:00,136.72,102.3364823
22.58,88.43,12/1/2023 22:00,70.74,96.11103769
22.59,88.36,12/1/2023 22:00,102.75,85.56623604
22.6,88.37,12/1/2023 22:00,106.04,85.87665909
22.6,88.41,12/1/2023 22:00,92.91,98.20285501
22.61,88.36,12/1/2023 22:00,99.38,85.24826471
22.48,88.34,12/1/2023 23:00,62.46,101.5966146
22.48,88.39,12/1/2023 23:00,122,104.3361876
22.5,88.35,12/1/2023 23:00,103.21,105.4415201
22.51,88.36,12/1/2023 23:00,100.26,105.1631773
22.51,88.37,12/1/2023 23:00,87.81,101.1102411
22.54,88.34,12/1/2023 23:00,95.57,101.8053257
22.54,88.35,12/1/2023 23:00,105.15,102.7092323
22.56,88.35,12/1/2023 23:00,105.73,97.590536
22.56,88.36,12/1/2023 23:00,109.28,97.92549096
22.56,88.39,12/1/2023 23:00,87.59,100.2027203
22.57,88.42,12/1/2023 23:00,258.86,116.3626459
22.58,88.43,12/1/2023 23:00,60.9,97.68442513
22.59,88.36,12/1/2023 23:00,110.72,87.02107986
22.6,88.37,12/1/2023 23:00,117.79,87.68815918
22.6,88.41,12/1/2023 23:00,95.74,100.9717014
22.61,88.36,12/1/2023 23:00,134.55,89.269524
22.48,88.34,12/2/2023 0:00,62.98,107.6887232
22.48,88.39,12/2/2023 0:00,158.96,118.2411035
22.5,88.35,12/2/2023 0:00,108.02,111.9384053
22.51,88.36,12/2/2023 0:00,95.07,110.7165273
22.51,88.37,12/2/2023 0:00,81.63,110.9447466
22.54,88.34,12/2/2023 0:00,96.42,103.425999
22.54,88.35,12/2/2023 0:00,107.34,104.4563393
22.56,88.35,12/2/2023 0:00,101.9,98.06494164
22.56,88.36,12/2/2023 0:00,99.73,97.86019453
22.56,88.39,12/2/2023 0:00,88.22,110.6014092
22.57,88.42,12/2/2023 0:00,160.21,117.3939184
22.58,88.43,12/2/2023 0:00,64.93,108.4039159
22.59,88.36,12/2/2023 0:00,131.57,89.99600033
22.6,88.37,12/2/2023 0:00,122.48,89.13832692
22.6,88.41,12/2/2023 0:00,94.14,111.159982
22.61,88.36,12/2/2023 0:00,126.13,89.48271723
22.48,88.34,12/2/2023 1:00,66.7,108.6246581
22.48,88.39,12/2/2023 1:00,209.29,122.8475742
22.5,88.35,12/2/2023 1:00,107.82,112.5044744
22.51,88.36,12/2/2023 1:00,91.13,110.9297143
22.51,88.37,12/2/2023 1:00,79.57,110.6080369
22.54,88.34,12/2/2023 1:00,89.8,105.6682057
22.54,88.35,12/2/2023 1:00,101.53,106.7749724
22.56,88.35,12/2/2023 1:00,98.96,98.47048112
22.56,88.36,12/2/2023 1:00,102.93,98.84506455
22.56,88.39,12/2/2023 1:00,86.8,115.0725656
22.57,88.42,12/2/2023 1:00,135.79,119.6949441
22.58,88.43,12/2/2023 1:00,65.05,113.0203768
22.59,88.36,12/2/2023 1:00,107.55,90.90279385
22.6,88.37,12/2/2023 1:00,99.76,90.16778001
22.6,88.41,12/2/2023 1:00,89.1,115.2895787
22.61,88.36,12/2/2023 1:00,108.73,91.01413099
22.48,88.34,12/2/2023 2:00,68.8,109.0787532
22.48,88.39,12/2/2023 2:00,195.13,121.3813615
22.5,88.35,12/2/2023 2:00,110.88,113.0491489
22.51,88.36,12/2/2023 2:00,92.3,111.2960607
22.51,88.37,12/2/2023 2:00,84.36,110.9298232
22.54,88.34,12/2/2023 2:00,97.85,107.7509257
22.54,88.35,12/2/2023 2:00,105.67,108.4887701
22.56,88.35,12/2/2023 2:00,102.1,99.27803108
22.56,88.36,12/2/2023 2:00,103.89,99.44692387
22.56,88.39,12/2/2023 2:00,88.37,114.5425477
22.57,88.42,12/2/2023 2:00,104.15,116.0314461
22.58,88.43,12/2/2023 2:00,65.32,112.3676993
22.59,88.36,12/2/2023 2:00,113.02,93.36741695
22.6,88.37,12/2/2023 2:00,113.11,93.37590876
22.6,88.41,12/2/2023 2:00,87.88,114.4963144
22.61,88.36,12/2/2023 2:00,129.14,94.88839553
22.48,88.34,12/2/2023 3:00,65.16,108.7949284
22.48,88.39,12/2/2023 3:00,156.85,118.2874311
22.5,88.35,12/2/2023 3:00,104.68,112.5237791
22.51,88.36,12/2/2023 3:00,83.09,110.4866868
22.51,88.37,12/2/2023 3:00,75.33,110.595733
22.54,88.34,12/2/2023 3:00,93.94,105.6007106
22.54,88.35,12/2/2023 3:00,101.04,106.2706205
22.56,88.35,12/2/2023 3:00,94.24,98.45427798
22.56,88.36,12/2/2023 3:00,99.1,98.91283604
22.56,88.39,12/2/2023 3:00,81.59,110.5224224
22.57,88.42,12/2/2023 3:00,112.09,113.4002045
22.58,88.43,12/2/2023 3:00,55.42,108.0531911
22.59,88.36,12/2/2023 3:00,122.86,97.72887973
22.6,88.37,12/2/2023 3:00,111.61,96.66740275
22.6,88.41,12/2/2023 3:00,97.5,112.0235868
22.61,88.36,12/2/2023 3:00,128.45,98.25631585
22.48,88.34,12/2/2023 4:00,77.66,110.4746431
22.48,88.39,12/2/2023 4:00,105.35,113.2892957
22.5,88.35,12/2/2023 4:00,122.72,114.7262123
22.51,88.36,12/2/2023 4:00,89.29,111.5719744
22.51,88.37,12/2/2023 4:00,87.42,111.5975372
22.54,88.34,12/2/2023 4:00,114.06,109.1853598
22.54,88.35,12/2/2023 4:00,114.3,109.2080046
22.56,88.35,12/2/2023 4:00,103.04,99.64341115
22.56,88.36,12/2/2023 4:00,95.77,98.95746113
22.56,88.39,12/2/2023 4:00,90.92,110.1628529
22.57,88.42,12/2/2023 4:00,46.81,106.0009195
22.58,88.43,12/2/2023 4:00,55.64,106.834061
22.59,88.36,12/2/2023 4:00,112.9,102.9018456
22.6,88.37,12/2/2023 4:00,99.13,101.6025977
22.6,88.41,12/2/2023 4:00,98.22,110.8516335
22.61,88.36,12/2/2023 4:00,119.47,103.5217481
22.48,88.34,12/2/2023 5:00,98.88,112.2213363
22.48,88.39,12/2/2023 5:00,120.78,114.5882108
22.5,88.35,12/2/2023 5:00,160.03,117.9910534
22.51,88.36,12/2/2023 5:00,103.37,112.6449836
22.51,88.37,12/2/2023 5:00,94.15,112.0755768
22.54,88.34,12/2/2023 5:00,141.26,110.5231325
22.54,88.35,12/2/2023 5:00,143.28,110.7137265
22.56,88.35,12/2/2023 5:00,124.4,102.141715
22.56,88.36,12/2/2023 5:00,104.87,100.2989909
22.56,88.39,12/2/2023 5:00,99.18,110.3609331
22.57,88.42,12/2/2023 5:00,51.86,105.896125
22.58,88.43,12/2/2023 5:00,66.44,107.2717992
22.59,88.36,12/2/2023 5:00,128.49,108.0219179
22.6,88.37,12/2/2023 5:00,110.28,106.3037405
22.6,88.41,12/2/2023 5:00,107.17,111.1148176
22.61,88.36,12/2/2023 5:00,129.55,108.1219327
22.48,88.34,12/2/2023 6:00,89.46,111.2634147
22.48,88.39,12/2/2023 6:00,119.23,114.2467628
22.5,88.35,12/2/2023 6:00,120.09,114.1534627
22.51,88.36,12/2/2023 6:00,100.63,112.3173434
22.51,88.37,12/2/2023 6:00,87.71,111.2727402
22.54,88.34,12/2/2023 6:00,109.17,102.923508
22.54,88.35,12/2/2023 6:00,104.12,102.4470228
22.56,88.35,12/2/2023 6:00,100.22,96.72383886
22.56,88.36,12/2/2023 6:00,92.58,96.00297805
22.56,88.39,12/2/2023 6:00,93.51,111.3499566
22.57,88.42,12/2/2023 6:00,45.31,106.8021174
22.58,88.43,12/2/2023 6:00,63.31,108.5004806
22.59,88.36,12/2/2023 6:00,107.48,99.88650414
